"name","flavor"
"Rock Slide","Large boulders are hurled at opposing Pokémon to inflict damage. This may also make the opposing Pokémon flinch."
"Rock Smash","The user attacks with a punch. This may also lower the target's Defense stat."
"Rock Throw","The user picks up and throws a small rock at the target to inflict damage."
"Rock Tomb","The user hurls boulders at the target to inflict damage. This also lowers the target's Speed stat by cutting off its movement."
"Rock Wrecker","The user launches a huge boulder at the target to attack. The user can't move on the next turn."
"Role Play","The user mimics the target completely, copying the target's Ability."
"Rolling Kick","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Rollout","The user continually rolls into the target over five turns. This attack becomes more powerful each time it hits."
"Roost","The user lands and rests its body. This move restores the user's HP by up to half its max HP."
"Rototiller","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Round","The user attacks the target with a song. If others use this move, they will act immediately after the initial user, and the power of their Rounds will be boosted."
"Ruination","The user summons a ruinous disaster. This cuts the target’s HP in half."
"Sacred Fire","The target is razed with a mystical fire of great intensity. This may also leave the target with a burn."
"Sacred Sword","The user attacks by slicing with a sword. The target's stat changes don't affect the damage inflicted by this move."
"Safeguard","The user creates a protective field that prevents status conditions for five turns."
"Salt Cure","The user salt cures the target, inflicting damage every turn. Steel and Water types are more strongly affected by this move."
"Sand Attack","Sand is hurled in the target's face, lowering the target's accuracy."
"Sand Tomb","The user traps the target inside a harshly raging sandstorm that inflicts damage for four to five turns."
"Sandsear Storm","The user attacks by wrapping opposing Pokémon in fierce winds and searingly hot sand. This may also leave them with a burn."
"Sandstorm","A five-turn sandstorm is summoned to damage all Pokémon except Rock, Ground, and Steel types. The sandstorm also boosts the Sp. Def stats of Rock types."
"Sappy Seed","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Savage Spin-Out","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Scald","The user attacks by shooting boiling hot water at the target. This may also leave the target with a burn."
"Scale Shot","The user attacks by shooting scales two to five times in a row. This move boosts the user's Speed stat but lowers its Defense stat."
"Scary Face","The user frightens the target with a scary face to harshly lower its Speed stat."
"Scorching Sands","The user throws scorching sand at the target to attack. This may also leave the target with a burn."
"Scratch","Hard, pointed, sharp claws rake the target to inflict damage."
"Screech","An earsplitting screech harshly lowers the target's Defense stat."
"Searing Shot","The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn."
"Searing Sunraze Smash","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Secret Power","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Secret Sword","The user cuts with its long horn. The odd power contained in the horn deals physical damage to the target."
"Seed Bomb","The user attacks by slamming a barrage of hard-shelled seeds down on the target from above."
"Seed Flare","The user emits a shock wave from its body to attack its target. This may also harshly lower the target's Sp. Def stat."
"Seismic Toss","The target is thrown using the power of gravity. It inflicts damage equal to the user's level."
"Self-Destruct","The user attacks everything around it by causing an explosion. The user faints upon using this move."
"Shadow Ball","The user attacks by hurling a shadowy blob at the target. This may also lower the target’s Sp. Def stat."
"Shadow Bone","The user attacks by beating the target with a bone that contains a spirit. This may also lower the target’s Defense stat."
"Shadow Claw","The user attacks by slashing the target with a sharp claw made from shadows. This move has a heightened chance of landing a critical hit."
"Shadow Force","The user disappears on the first turn, then attacks on the next turn. This move hits even if the target protects itself."
"Shadow Punch","The user throws a punch from the shadows. This attack never misses."
"Shadow Sneak","The user extends its shadow and attacks the target from behind. This move always goes first."
"Sharpen","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Shattered Psyche","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Shed Tail","The user creates a substitute for itself using its own HP before switching places with a party Pokémon in waiting."
"Sheer Cold","The target faints instantly. This move is less likely to hit the target if used by Pokémon other than Ice types."
"Shell Side Arm","This move is either physical or special—whichever will inflict more damage. This may also poison the target."
"Shell Smash","The user breaks its shell, which lowers its Defense and Sp. Def stats but sharply boosts its Attack, Sp. Atk, and Speed stats."
"Shell Trap","The user sets a shell trap. If the user is hit by a physical move, the trap will explode and inflict damage on opposing Pokémon."
"Shelter","The user makes its skin as hard as an iron shield, sharply boosting its Defense stat."
"Shift Gear","The user rotates its gears, boosting its Attack stat and sharply boosting its Speed stat."
"Shock Wave","The user strikes the target with a quick jolt of electricity. This attack never misses."
"Shore Up","The user restores its own HP by up to half its max HP. It regains more HP in a sandstorm."
"Signal Beam","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Silk Trap","The user spins a silken trap, protecting itself from damage while lowering the Speed stat of any attacker that makes direct contact."
"Silver Wind","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Simple Beam","The user emits a mysterious psychic wave that changes the target's Ability to Simple."
"Sing","A soothing lullaby is sung in a beautiful voice that puts the target to sleep."
"Sinister Arrow Raid","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Sizzly Slide","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Sketch","This move enables the user to permanently learn the move last used by the target. Once used, Sketch disappears."
"Skill Swap","The user employs its psychic power to exchange Abilities with the target."
"Skitter Smack","The user skitters behind the target to attack. This also lowers the target's Sp. Atk stat."
"Skull Bash","The user tucks in its head to raise its Defense stat on the first turn, then rams the target on the next turn."
"Sky Attack","The user attacks the turn after using this move. This move has a heightened chance of landing a critical hit and may also make the target flinch."
"Sky Drop","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Sky Uppercut","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Slack Off","The user slacks off, restoring its own HP by up to half its max HP."
"Slam","The target is slammed with a long tail, vines, or the like to inflict damage."
"Slash","The target is attacked with a slash of claws, scythes, or the like. This move has a heightened chance of landing a critical hit."
"Sleep Powder","The user scatters a cloud of soporific dust that puts the target to sleep."
"Sleep Talk","The user randomly uses one of the moves it knows. This move can only be used while the user is asleep."
"Sludge","The user hurls unsanitary sludge at the target to inflict damage. This may also poison the target."
"Sludge Bomb","The user hurls unsanitary sludge at the target to inflict damage. This may also poison the target."
"Sludge Wave","The user strikes everything around it by swamping the area with a giant sludge wave. This may also poison those it hits."
"Smack Down","The user throws a stone or similar projectile to attack the target. If the target is in the air, it will be knocked down to the ground."
"Smart Strike","The user stabs the target with a sharp horn. This attack never misses."
"Smelling Salts","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Smog","The target is attacked with a discharge of filthy gases. This may also poison the target."
"Smokescreen","The user releases an obscuring cloud of smoke or ink. This lowers the target's accuracy."
"Snap Trap","The user snares the target in a snap trap for four to five turns."
"Snarl","The user yells as if it's ranting about something, which lowers the Sp. Atk stats of opposing Pokémon."
"Snatch","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Snipe Shot","The user ignores the effects of opposing Pokémon's moves and Abilities that draw in moves, allowing this move to hit the chosen target."
"Snore","This attack can be used only if the user is asleep. The harsh noise may also make the target flinch."
"Snowscape","The user summons a snowstorm lasting five turns. This boosts the Defense stats of Ice types."
"Soak","The user shoots a torrent of water that changes the target's type to Water."
"Soft-Boiled","The user restores its own HP by up to half its max HP."
"Solar Beam","The user gathers light on the first turn, then blasts a bundled beam on the next turn."
"Solar Blade","The user gathers light on the first turn, then fills a blade with the light's energy and attacks on the next turn."
"Sonic Boom","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Soul-Stealing 7-Star Strike","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Spacial Rend","The user tears the target along with the space around it. This move has a heightened chance of landing a critical hit."
"Spark","The user attacks the target with an electrically charged tackle. This may also leave the target with paralysis."
"Sparkling Aria","The user bursts into song, emitting many bubbles. Any Pokémon suffering from a burn will be cured by the touch of these bubbles."
"Sparkly Swirl","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Spectral Thief","The user hides in the target’s shadow, steals the target’s stat boosts, and then attacks."
"Speed Swap","The user exchanges Speed stats with the target."
"Spicy Extract","The user emits an incredibly spicy extract, sharply boosting the target's Attack stat and harshly lowering the target's Defense stat."
"Spider Web","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Spike Cannon","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Spikes","The user lays a trap of spikes at the feet of the opposing team. The spikes will damage opposing Pokémon that switch into battle."
"Spiky Shield","In addition to protecting the user from attacks, this move also damages any attacker that makes direct contact."
"Spin Out","The user spins furiously by straining its legs, inflicting damage on the target. This also harshly lowers the user's Speed stat."
"Spirit Break","The user attacks the target with so much force that it could break the target's spirit. This also lowers the target's Sp. Atk stat."
"Spirit Shackle","The user attacks while simultaneously stitching the target's shadow to the ground to prevent the target from fleeing."
"Spit Up","The power stored using the move Stockpile is released at once in an attack. The more power is stored, the greater the move's power."
"Spite","The user unleashes its grudge on the move last used by the target by cutting 4 PP from it."
"Splash","The user just flops and splashes around to no effect at all..."
"Splintered Stormshards","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Splishy Splash","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Spore","The user scatters bursts of spores that induce sleep."
"Spotlight","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Springtide Storm","The user attacks by wrapping opposing Pokémon in fierce winds brimming with love and hate. This may also lower their Attack stats."
"Stealth Rock","The user lays a trap of levitating stones around the opposing team. The trap damages opposing Pokémon that switch into battle."
"Steam Eruption","The user immerses the target in superheated steam. This may also leave the target with a burn."
"Steamroller","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Steel Beam","The user fires a beam of steel that it collected from its entire body. This also damages the user."
"Steel Roller","The user attacks while destroying the terrain. This move fails if the ground hasn't turned into a terrain."
"Steel Wing","The target is hit with wings of steel. This may also boost the user's Defense stat."
"Sticky Web","The user weaves a sticky net around the opposing team, which lowers their Speed stats upon switching into battle."
"Stockpile","The user stores power and boosts its Defense and Sp. Def stats. This move can be used up to three times."
"Stoked Sparksurfer","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Stomp","The user attacks by stomping on the target with a big foot. This may also make the target flinch."
"Stomping Tantrum","Driven by frustration, the user attacks the target. This move's power is doubled if the user's previous move failed."
"Stone Axe","The user swings its stone axes at the target. Stone splinters left behind by this attack float around the target."
"Stone Edge","The user stabs the target with sharpened stones. This move has a heightened chance of landing a critical hit."
"Stored Power","The user attacks the target with stored power. The more the user's stats are boosted, the greater the move's power."
"Storm Throw","The user strikes the target with a fierce blow. This attack always results in a critical hit."
"Strange Steam","The user attacks the target by emitting steam. This may also confuse the target."
"Strength","The target is slugged with a punch thrown at maximum power."
"Strength Sap","The user restores its own HP by the same amount as the target's Attack stat. It then lowers the target's Attack stat."
"String Shot","The user blows silk from its mouth that binds opposing Pokémon and harshly lowers their Speed stats."
"Struggle","This attack is used in desperation only if the user has no PP. It also damages the user a little."
"Struggle Bug","The user attacks by struggling against opposing Pokémon. This also lowers their Sp. Atk stats."
"Stuff Cheeks","The user eats its held Berry, then sharply boosts its Defense stat."
"Stun Spore","The user scatters a cloud of numbing powder that paralyzes the target."
"Submission","The user grabs the target and recklessly dives for the ground. This also damages the user a little."
"Substitute","The user creates a substitute for itself using some of its own HP. The substitute serves as the user's decoy."
"Subzero Slammer","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Sucker Punch","This move enables the user to attack first. This move fails if the target is not readying an attack."
"Sunny Day","The user intensifies the sun for five turns, powering up Fire-type attacks. The sunlight also lowers the power of Water-type attacks."
"Sunsteel Strike","The user slams into the target with the force of a meteor. This move can be used on the target regardless of its Ability."
"Super Fang","The user chomps hard on the target with its sharp front fangs. This cuts the target's HP in half."
"Supercell Slam","The user electrifies its body and drops onto the target to inflict damage. If this move misses, the user takes damage instead."
"Superpower","The user attacks the target with great power. This also lowers the user's Attack and Defense stats."
"Supersonic","The user generates odd sound waves from its body that confuse the target."
"Supersonic Skystrike","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Surf","The user attacks everything around it by swamping its surroundings with a giant wave."
"Surging Strikes","The user, having mastered the Water style, strikes the target with a flowing motion three times in a row. This move always lands a critical hit."
"Swagger","The user enrages and confuses the target. However, this also sharply boosts the target's Attack stat."
"Swallow","The power stored using the move Stockpile is absorbed by the user to restore its own HP. The more power is stored, the more HP is restored."
"Sweet Kiss","The user kisses the target with a sweet, angelic cuteness that causes confusion."
"Sweet Scent","The user releases a scent that harshly lowers opposing Pokémon's evasiveness."
"Swift","Star-shaped rays are shot at opposing Pokémon. This attack never misses."
"Switcheroo","The user trades held items with the target faster than the eye can follow."
"Swords Dance","A frenetic dance to uplift the fighting spirit. This sharply boosts the user's Attack stat."
"Synchronoise","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Synthesis","The user restores its own HP. The amount of HP regained varies with the weather."
"Syrup Bomb","The user sets off an explosion of sticky candy syrup, which coats the target and causes the target's Speed stat to drop each turn for three turns."
"Tachyon Cutter","The user attacks by launching particle blades at the target twice in a row. This attack never misses."
"Tackle","A physical attack in which the user charges and slams into the target with its whole body."
"Tail Glow","The user stares at flashing lights to focus its mind, drastically boosting its Sp. Atk stat."
"Tail Slap","The user attacks by striking the target with its hard tail. This move hits two to five times in a row."
"Tail Whip","The user wags its tail cutely, making opposing Pokémon less wary. This lowers their Defense stats."
"Tailwind","The user whips up a turbulent whirlwind that boosts the Speed stats of itself and its allies for four turns."
"Take Down","A reckless full-body charge attack for slamming into the target. This also damages the user a little."
"Take Heart","The user lifts its spirits, curing its own status conditions and boosting its Sp. Atk and Sp. Def stats."
"Tar Shot","The user pours sticky tar over the target, lowering the target's Speed stat. The target becomes weaker to Fire-type moves."
"Taunt","The target is taunted into a rage that allows it to use only attack moves for three turns."
"Tearful Look","The user gets teary-eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats."
"Teatime","The user has teatime with all the Pokémon currently in the battle. Each Pokémon eats its held Berry."
"Techno Blast","The user fires a beam of light at its target. The move’s type changes depending on the Drive the user holds."
"Tectonic Rage","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Teeter Dance","The user performs a wobbly dance that confuses every Pokémon around it."
"Telekinesis","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Teleport","The user switches places with a party Pokémon in waiting, if any. If a wild Pokémon uses this move, it flees."
"Temper Flare","Spurred by desperation, the user attacks the target. This move's power is doubled if the user's previous move failed."
"Tera Blast","If the user has Terastallized, it unleashes energy of its Tera Type. This move inflicts damage using the Attack or Sp. Atk stat—whichever is higher for the user."
"Tera Starstorm","With the power of its crystals, the user bombards and eliminates the target. When used by Terapagos in its Stellar Form, this move damages all opposing Pokémon."
"Terrain Pulse","The user utilizes the energy of the terrain to attack. This move’s type and power change depending on the terrain at the time the move is used."
"Thief","The user attacks and steals the target's held item simultaneously. The user can't steal anything if it already holds an item."
"Thousand Arrows","This move also hits opposing Pokémon that are in the air. Those Pokémon are knocked down to the ground."
"Thousand Waves","The user attacks with a wave that crawls along the ground. Those it hits can’t flee from battle."
"Thrash","The user rampages and attacks for two to three turns. The user then becomes confused."
"Throat Chop","The user attacks the target's throat, and the resultant suffering prevents the target from using sound-based moves for two turns."
"Thunder","A wicked thunderbolt is dropped on the target to inflict damage. This may also leave the target with paralysis."
"Thunder Cage","The user traps the target inside a cage of sparking electricity that inflicts damage for four to five turns."
"Thunder Fang","The user bites with electrified fangs. This may also make the target flinch or leave it with paralysis."
"Thunder Punch","The target is attacked with an electrified punch. This may also leave the target with paralysis."
"Thunder Shock","The user attacks the target with a jolt of electricity. This may also leave the target with paralysis."
"Thunder Wave","The user launches a weak jolt of electricity that paralyzes the target."
"Thunderbolt","The user attacks the target with a strong electric blast. This may also leave the target with paralysis."
"Thunderclap","This move enables the user to attack first with a jolt of electricity. This move fails if the target is not readying an attack."
"Thunderous Kick","The user overwhelms the target with lightning-like movement before delivering a kick. This also lowers the target's Defense stat."
"Tickle","The user tickles the target into laughing, lowering its Attack and Defense stats."
"Tidy Up","The user tidies up and removes the effects of Spikes, Stealth Rock, Sticky Web, Toxic Spikes, and Substitute. This also boosts the user’s Attack and Speed stats."
"Topsy-Turvy","All stat changes affecting the target turn topsy-turvy and become the opposite of what they were."
"Torch Song","The user blows out raging flames as if singing a song, scorching the target. This also boosts the user's Sp. Atk stat."
"Torment","The user torments and enrages the target, making it incapable of using the same move twice in a row."
"Toxic","A move that leaves the target badly poisoned. Its poison damage worsens every turn."
"Toxic Spikes","The user lays a trap of poison spikes at the feet of the opposing team. The spikes will poison opposing Pokémon that switch into battle."
"Toxic Thread","The user shoots poisonous threads to poison the target and lower the target's Speed stat."
"Trailblaze","The user attacks suddenly as if leaping out from tall grass. The user's nimble footwork boosts its Speed stat."
"Transform","The user transforms into a copy of the target, right down to having the same move set."
"Tri Attack","The user strikes with a simultaneous three-beam attack. This may also burn, freeze, or paralyze the target."
"Trick","The user catches the target off guard and swaps the target's held item with its own."
"Trick Room","The user creates a bizarre area in which slower Pokémon get to move first for five turns."
"Trick-or-Treat","The user takes the target trick-or-treating. This adds Ghost type to the target’s type."
"Triple Arrows","The user kicks, then fires three arrows. This move has a heightened chance of landing a critical hit and may also lower the target’s Defense stat or make it flinch."
"Triple Axel","A consecutive three-kick attack that becomes more powerful with each successful hit."
"Triple Dive","The user performs a perfectly timed triple dive, hitting the target with splashes of water three times in a row."
"Triple Kick","A consecutive three-kick attack that becomes more powerful with each successful hit."
"Trop Kick","The user lands an intense kick of tropical origins on the target. This also lowers the target's Attack stat."
"Trump Card","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Twin Beam","The user shoots mystical beams from its eyes to inflict damage. The target is hit twice in a row."
"Twineedle","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Twinkle Tackle","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Twister","The user whips up a vicious tornado to tear at opposing Pokémon. This may also make them flinch."
"Upper Hand","The user reacts to the target's movement and strikes with the heel of its palm, making the target flinch. This move fails if the target is not readying a priority move."
"Uproar","The user attacks in an uproar for three turns. During that time, no Pokémon can fall asleep."
"U-turn","After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
"Vacuum Wave","The user whirls its fists to send a wave of pure vacuum at the target. This move always goes first."
"V-create","With a hot flame on its forehead, the user hurls itself at its target. This lowers the user’s Defense, Sp. Def, and Speed stats."
"Veevee Volley","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Venom Drench","Opposing Pokémon are drenched in an odd poisonous liquid. This lowers the Attack, Sp. Atk, and Speed stats of a poisoned target."
"Venoshock","The user drenches the target in a special poisonous liquid. This move's power is doubled if the target is poisoned."
"Victory Dance","The user performs an intense dance to usher in victory, boosting its Attack, Defense, and Speed stats."
"Vine Whip","The target is struck with slender, whiplike vines to inflict damage."
"Vise Grip","The target is gripped and squeezed from both sides to inflict damage."
"Vital Throw","The user attacks last. In return, this throw move never misses."
"Volt Switch","After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
"Volt Tackle","The user electrifies itself and charges the target. This also damages the user quite a lot. This attack may leave the target with paralysis."
"Wake-Up Slap","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Water Gun","The target is blasted with a forceful shot of water."
"Water Pledge","A column of water hits the target. When used with its fire counterpart, this move's power is boosted and a rainbow appears."
"Water Pulse","The user attacks the target with a pulsing blast of water. This may also confuse the target."
"Water Shuriken","The user hits the target with throwing stars two to five times in a row. This move always goes first."
"Water Sport","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Water Spout","The user spouts water to damage opposing Pokémon. The lower the user's HP, the lower the move's power."
"Waterfall","The user charges at the target and may make it flinch."
"Wave Crash","The user shrouds itself in water and slams into the target with its whole body to inflict damage. This also damages the user quite a lot."
"Weather Ball","This move's type and power change depending on the weather at the time the move is used."
"Whirlpool","The user traps the target inside a violent, swirling whirlpool that inflicts damage for four to five turns."
"Whirlwind","The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
"Wicked Blow","The user, having mastered the Dark style, strikes the target with a fierce blow. This move always lands a critical hit."
"Wide Guard","The user and its allies are protected from wide-ranging attacks for one turn."
"Wild Charge","The user shrouds itself in electricity and smashes into its target. This also damages the user a little."
"Wildbolt Storm","The user summons a thunderous tempest and savagely attacks with lightning and wind. This may also leave opposing Pokémon with paralysis."
"Will-O-Wisp","The user shoots a sinister flame at the target to inflict a burn."
"Wing Attack","The target is struck with large, imposing wings spread wide to inflict damage."
"Wish","One turn after this move is used, the user's or its replacement's HP is restored by up to half the user's max HP."
"Withdraw","The user withdraws its body into its hard shell, boosting its Defense stat."
"Wonder Room","The user creates a bizarre area in which Pokémon's Defense and Sp. Def stats are swapped for five turns."
"Wood Hammer","The user slams its rugged body into the target to attack. This also damages the user quite a lot."
"Work Up","The user is roused, and its Attack and Sp. Atk stats are boosted."
"Worry Seed","A seed that causes worry is planted on the target. It prevents sleep by making the target's Ability Insomnia."
"Wrap","A long body, vines, or the like are used to wrap and squeeze the target for four to five turns."
"Wring Out","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"X-Scissor","The user slashes at the target by crossing its scythes, claws, or the like as if they were a pair of scissors."
"Yawn","The user lets loose a huge yawn that lulls the target into falling asleep on the next turn."
"Zap Cannon","The user attacks by firing an electric blast like a cannon. This also leaves the target with paralysis."
"Zen Headbutt","The user focuses its willpower to its head and attacks the target. This may also make the target flinch."
"Zing Zap","The user crashes into the target, delivering a powerful electric shock. This may also make the target flinch."
"Zippy Zap","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
